品目,用途・形式,ごみの種類,処理できない形式・材質,備考
パーティション（間仕切り）,,受入不可,,
ハードコンテナ,折り畳み式,粗大ごみ,仕事で使用したものは不可,50cm未満のものは不燃ごみ。
ハーネス,ペット用,可燃ごみ,,50cm未満に切ってください。金具が外せないものは不燃ごみ。
バーベキュー網,,粗大ごみ,,50cm未満のものは不燃ごみ。
バーベキューコンロ,,粗大ごみ,テーブル一体型、ドラム缶型等大型のものは不可,50cm未満のものは不燃ごみ。
バーベキュー鉄板,,粗大ごみ,,50cm未満のものは不燃ごみ。
バーベル（おもり）,2kg以下,不燃ごみ,2kgを超えるものは不可,
バーベル（シャフト）,厚さ2mm未満（中空のもの、金属製）,粗大ごみ,厚さ2mmを超えるものは不可,50cm未満のものは不燃ごみ。
ハーモニカ,楽器,不燃ごみ,,
バール（釘抜き）,工具,不燃ごみ,仕事で使用したものは不可,先が出ないよう紙などに包んで「キケン」と表示してください。
灰,香炉灰,可燃ごみ,香炉灰以外のものは不可,十分に水で濡らしてください。
バイク（二輪車）,,受入不可,,
バイク部品,タイヤ、マフラー等,受入不可,,
灰皿,卓上用,不燃ごみ,,
灰皿,スタンド式,受入不可,,
ハイヒール,,可燃ごみ,,金具の外せないものは不燃ごみ。
