"番号","地区","品目","形式","材質","可燃ごみ","不燃ごみ","有害ごみ","プラスチック資源","資源","粗大ごみ","小型家電回収ボックス","集積所不可(直接搬入のみ可)","市では処理できないごみ","処理できない形式・材質","備考"
"1","朝霞市","アームスタンド","","","","◎","","","","○","☆","","","","蛍光管は取り外して有害ごみ
50cm以上のものは粗大ごみ"
"2","朝霞市","IHヒーター(電磁調理器)","","","","◎","","","","○","☆","","○","作り付けのものは不可","50cm以上のものは粗大ごみ"
"3","朝霞市","IHヒーター用焼け焦げ防止カバー","フィルム形","","◎","","","","","","","","","",""
"4","朝霞市","IHヒーター用焼け焦げ防止カバー","プレート形","","","◎","","","","","","","","",""
"5","朝霞市","ICレコーダー","","","","◎","〇","","","","☆","","","充電池内蔵式は有害ごみ","電池を取り外してください
記録等は消去してください"
"6","朝霞市","合図灯(誘導棒)","","","","◎","","","","○","","","○","仕事で使用したものは不可","電気式は電池は取り外してください
 50cm以上のものは粗大ごみ"
"7","朝霞市","アイストレイ(製氷皿)","","プラスチック製、金属製","","◎","","","","","","","","",""
"8","朝霞市","アイストレイ(製氷皿)","","シリコン製","◎","","","","","","","","","",""
"9","朝霞市","アイスピック","","","","◎","","","","","","","","","収集時に危険のないよう、紙などに包み「キケン」と表示してください"
"10","朝霞市","アイスペール(氷保管用容器)","","","","◎","","","","","","","","",""
"11","朝霞市","アイスボックス(クーラーボックス)","","","","○","","","","◎","","","","","50cm未満のものは不燃ごみ"
"12","朝霞市","アイロン","","","","◎","","","","","☆","","","",""
"13","朝霞市","アイロン台","","","","○","","","","◎","","","","","50cm未満のものは不燃ごみ"
"14","朝霞市","アイロンプリント紙(昇華転写紙、捺染紙)","","","◎","","","","","","","","","",""
"15","朝霞市","アウトドア用燃料の容器","1リットル以下","","","","","","","","","◎","○","仕事で使用したものは不可","中身は空にしてください。中身が入っているものや容量が１リットルを超えるものは処理できません。"
"16","朝霞市","アクアリウム(水槽用品)","長さ50cm未満、直径5cm未満","草木類","◎","","","","","","","","","",""
"17","朝霞市","アクアリウム(水槽用品)","長さ50cm以上180cm未満、直径5cm以上10cm未満","草木類","","","","","","◎","","","","","葉を落としてください
葉は可燃ごみ"
"18","朝霞市","アクアリウム(水槽用品)","水槽本体、置物、その他装飾品等","プラスチック類、金属類、ガラス類、陶磁器類","","◎","","","","○","","","","","50cm以上のものは粗大ごみ"
"19","朝霞市","アクアリウム(水槽用品)","水中ポンプ、ろ過器、サーモスタット、ヒーター","","","◎","","","","","☆","","○","30cm以上のものは不可",""
"20","朝霞市","アクアリウム(水槽用品)","砂類、石類","","","","","","","","","","◎","",""
"21","朝霞市","灰汁(あく)取りシート","","","◎","","","","","","","","","",""
"22","朝霞市","アクリル板","","アクリル製","","◎","","","","○","","","○","建材は不可",""
"23","朝霞市","揚げ物バット","","","","◎","","","","","","","","",""
"24","朝霞市","アコーディオン","楽器","","","◎","","","","○","","","","","50cm以上のものは粗大ごみ"
"25","朝霞市","アコーディオンカーテン","","","","","","","","◎","","","○","カーテン部分が木製、金属製、プラスチック製のものは不可",""
"26","朝霞市","足裏マッサージ器(フットマッサージャー)","","","","○","","","","◎","","","","","50cm未満のものは不燃ごみ"
"27","朝霞市","足拭きマット(バスマット)","","布製","○","","","","","◎","","","","","50cm未満に切れば可燃ごみ"
"28","朝霞市","足拭きマット(バスマット)","","珪藻土製","","○","","","","◎","","","","","50cm未満のものは不燃ごみ"
"29","朝霞市","足踏み竹","","竹製","◎","","","","","○","","","","","50cm以上のものは粗大ごみ"
"30","朝霞市","足踏み竹","","プラスチック製","","◎","","","","○","","","","","50cm以上のものは粗大ごみ"
"31","朝霞市","アタッシェケース","","","","◎","","","","○","","","","","50cm以上のものは粗大ごみ"
"32","朝霞市","アダプター","家庭用電子機器用","","","◎","○","","","","☆","","","充電池内蔵式は有害ごみ",""
"33","朝霞市","圧着はがき","","","◎","","","","","","","","","",""
"34","朝霞市","圧力鍋(圧力釜)","","","","◎","","","","","","","","",""
"35","朝霞市","穴あけパンチ","文房具","","","◎","","","","","","","","",""
"36","朝霞市","油","食用、美容用","","◎","","","","","","","","○","液体のままのものは不可","油固化剤で固めるか、古紙、古布等に染み込ませてください"
"37","朝霞市","油","燃料用、工業用(機械用)","","","","","","","","","","◎","",""
"38","朝霞市","油こし器(オイルポット)","","","","◎","","","","","","","○","液体のままのものは不可","残った食用油は油固化剤で固めるか、古紙、古布等に染み込ませて可燃ごみ
残った油を処理後、軽く洗ってください"
"39","朝霞市","油こし紙","","","◎","","","","","","","","","",""
"40","朝霞市","油粘土","","","◎","","","","","","","","○","油粘土・紙粘土以外の粘土は不可",""
"41","朝霞市","雨合羽(あまがっぱ)","","","◎","","","","","","","","","","50cm未満に切ってください"
"42","朝霞市","雨戸","","","","","","","","","","","◎","",""
"43","朝霞市","雨どい","","","","","","","","","","","◎","",""
"44","朝霞市","網(ネット)","鳥除け用等","プラスチック製","○","","","","","◎","","","○","仕事で使用したものは不可
金属製は不可","50cm未満に切れば可燃ごみ"
"45","朝霞市","網(ネット)","果物用、野菜用","","","","","◎","","","","","○","仕事で使用したものは不可",""
"46","朝霞市","編み機","","","","","","","","◎","","","","",""
"47","朝霞市","網戸","","","","","","","","◎","","","","",""
"48","朝霞市","網戸","網のみ","","○","","","","","◎","","","","","50cm未満に切れば可燃ごみ"
"49","朝霞市","編み針","","木製","◎","","","","","","","","","","収集時に危険のないよう、紙などに包み「キケン」と表示してください"
"50","朝霞市","編み針","","プラスチック製、金属製","","◎","","","","","","","","","収集時に危険のないよう、紙などに包み「キケン」と表示してください"
"51","朝霞市","洗い桶","","","","◎","","","","○","","","","","50cm以上のものは粗大ごみ"
"52","朝霞市","アルバム","表紙部分","布製","◎","","","","","","","","","",""
"53","朝霞市","アルバム","表紙、本体部分","紙製","◎","","","","","","","","","",""
"54","朝霞市","アルバム","留め具等","プラスチック類、金属類","","◎","","","","","","","","",""
"55","朝霞市","アルミコーティング紙","","","◎","","","","","","","","","",""
"56","朝霞市","アルミ箔(アルミホイル)","","","◎","","","","","","","","","","箱の紙部分は資源(雑紙)。金属刃は収集時に危険のないよう紙などに包み「キケン」と表示して不燃ごみ
紙刃は可燃ごみ"
"57","朝霞市","アルミ箔鍋(使い捨て鍋)","鍋焼きうどん用等","","","◎","","","","","","","","","容器の中を軽く洗ってください"
"58","朝霞市","アルミロールマット","","","○","","","","","◎","","","","","50cm未満に切れば可燃ごみ"
"59","朝霞市","アロマオイルの容器","","ガラス製","","◎","","","","","","","","","容器の中を軽く洗ってください"
"60","朝霞市","アロマキャンドル","","","◎","","","","","","","","","",""
"61","朝霞市","アロマキャンドルの容器","","ガラス製","","◎","","","","","","","","","容器の中を軽く洗ってください"
"62","朝霞市","アロマポット","","","","◎","","","","","","","","",""
"63","朝霞市","アロマライト","","","","◎","","","","","☆","","","",""
"64","朝霞市","泡立て器","調理器具(非電気式)","","","◎","","","","○","","","","","50cm以上のものは粗大ごみ"
"65","朝霞市","泡立て器","調理器具(電気式)","","","◎","","","","○","☆","","","","電池を取り外してください
50cm以上のものは粗大ごみ"
"66","朝霞市","行火(あんか)","","","","◎","","","","○","","","","","50cm以上のものは粗大ごみ"
"67","朝霞市","行火(あんか)","電気式","","","◎","","","","○","☆","","","","50cm以上のものは粗大ごみ"
"68","朝霞市","アンクレット","","","","◎","","","","","","","","",""
"69","朝霞市","安全靴","","","","◎","","","","","","","○","仕事で使用したものは不可","安全靴であることが分かるよう表示をしてください"
"70","朝霞市","安全帯(安全ベルト)","","","","◎","","","","","","","○","仕事で使用したものは不可",""
"71","朝霞市","安全ピン","","","","◎","","","","","","","","","収集時に危険のないよう、紙などに包み「キケン」と表示してください"
"72","朝霞市","アンテナ","U/Ⅴ/パラボラ","","","◎","","","","○","","","","","50cm以上のものは粗大ごみ"
"73","朝霞市","アンプ","","","","◎","○","","","○","☆","","","充電池内蔵式は有害ごみ","50cm以上のものは粗大ごみ"
"74","朝霞市","ETC車載ユニット","","","","◎","","","","","☆","","","",""
"75","朝霞市","い草マット(い草ラグ)","","","○","","","","","◎","","","","","50cm未満に切れば可燃ごみ"
"76","朝霞市","池","園芸用品","","","","","","","","","","◎","",""
"77","朝霞市","石","","","","","","","","","","","◎","",""
"78","朝霞市","石臼","","","","","","","","","","","◎","",""
"79","朝霞市","石灯篭(いしどうろう)","","","","","","","","","","","◎","",""
"80","朝霞市","衣装ケース","","","","○","","","","◎","","","","","50cm未満のものは不燃ごみ"
"81","朝霞市","衣装だんす","","","","","","","","◎","","","","",""
"82","朝霞市","移植ごて","園芸用品","","","◎","","","","","","","","","収集時に危険のないよう、紙などに包み「キケン」と表示してください"
"83","朝霞市","椅子(いす)","","","","○","","","","◎","","","○","仕事で使用したものは不可","50cm未満のものは不燃ごみ"
"84","朝霞市","椅子カバー","","","○","","","","◎","","","","","","著しく汚損しているものは50cm未満に切って可燃ごみ"
"85","朝霞市","板","長さ50cm未満、厚み5cm未満、幅20cm未満","木製","◎","","","","","","","","○","建材は不可",""
"86","朝霞市","板","","アクリル製、プラスチック製","","◎","","","","○","","","○","建材は不可","50cm以上のものは粗大ごみ"
"87","朝霞市","一輪車","子供用、スポーツ用","","","","","","","◎","","","","",""
"88","朝霞市","一輪車(作業用猫車)","","","","","","","","","","","◎","",""
"89","朝霞市","一升びん","","","","","","","◎","","","","","","容器の中を軽く洗ってください"
"90","朝霞市","一升びんのふた","","","","◎","","","","","","","","",""
"91","朝霞市","一斗缶(18L缶)","菓子等（蓋型/固形物用）","","","◎","","","","","","","","",""
"92","朝霞市","一斗缶(18L缶)","手指消毒液（キャップ型、液体のものに限る）","","","","","","","","","◎","","仕事で使用したものは不可","中身は空にしてください。クリーンセンターへ直接お持ちください。"
"93","朝霞市","一斗缶(18L缶)","上記以外のもの","","","","","","","","","","◎","",""
"94","朝霞市","糸","","","◎","","","","","","","","","","束ねて縛ってください"
"95","朝霞市","糸のこ","手動式、電動式(ハンディタイプ)","","","◎","","","","○","","","","","収集時に危険のないよう、紙などに包み「キケン」と表示してください
50cm以上のものは粗大ごみ"
"96","朝霞市","糸のこ","電動式(据置型)","","","","","","","","","","◎","",""
"97","朝霞市","井戸ポンプ","","","","","","","","","","","◎","",""
"98","朝霞市","犬小屋","100cm×90cm×90cm未満","","","○","","","","◎","","","○","100cm×90cm×90cm以上のものは不可","50cm未満のものは不燃ごみ"
"99","朝霞市","医薬品","錠剤","","◎","","","","","","","","","","購入先、メーカーなどへ問い合わせて問題がなければ可燃ごみ"
"100","朝霞市","医薬品","液体","","◎","","","","","","","","○","液体のままのものは不可","購入先、メーカーなどへ問い合わせて問題がなければ古紙古布等に染み込ませて可燃ごみ"
"101","朝霞市","医薬品の容器","","プラスチック製","","","","◎","","","","","","","容器の中を軽く洗ってください"
"102","朝霞市","医薬品の容器","","ガラス製","","","","","◎","","","","","","容器の中を軽く洗ってください"
"103","朝霞市","イヤホン","","","","◎","〇","","","","☆","","","充電池内蔵式は有害ごみ",""
"104","朝霞市","イヤリング","","","","◎","","","","","","","","","透明袋に入れて出してください"
"105","朝霞市","衣類(洋服)","","","○","","","","◎","","","","","","綿が入っているもの、皮革製のもの、著しく汚損しているものは50cm未満に切って可燃ごみ"
"106","朝霞市","衣類カバー(洋服カバー)","","ビニール製、不織布製","◎","","","","","","","","","","50cm未満に切ってください"
"107","朝霞市","衣類乾燥機","","","","","","","","","","","◎","","家電リサイクル法対象品目"
"108","朝霞市","入れ歯","","","","◎","","","","","","","","",""
